playerid,yearid,teamid,ab
beaumgi01,1901,PIT,558
beaumgi01,1902,PIT,541
beaumgi01,1903,PIT,613
beaumgi01,1904,PIT,615
beaumgi01,1907,BSN,580
beckebe01,1909,BSN,562
beckebe01,1914,PHI,514
beckegl01,1965,CHN,614
beckegl01,1966,CHN,656
beckegl01,1967,CHN,597
beckegl01,1968,CHN,643
beckegl01,1969,CHN,543
beckegl01,1970,CHN,591
beckegl01,1971,CHN,530
becker01,1901,CLE,539
beckeri01,1996,MIN,525
beckfr02,1910,BSN,571
beckfr02,1914,CHF,555
beckhgo01,2012,CHA,525
becklja01,1889,PIT,522
becklja01,1890,PTP,529
becklja01,1891,PIT,554
becklja01,1892,PIT,614
becklja01,1893,PIT,542
becklja01,1894,PIT,537
becklja01,1895,PIT,534
becklja01,1899,CIN,517
becklja01,1900,CIN,558
becklja01,1901,CIN,580
becklja01,1902,CIN,531
becklja01,1904,SLN,551
becklja01,1905,SLN,514
beeched01,1890,BFP,536
belanma01,1969,BAL,530
belanma01,1976,BAL,522
bellbe01,1936,SLA,616
bellbe01,1937,SLA,642
bellbe01,1938,SLA,526
bellbu01,1973,CLE,631
bellbu01,1975,CLE,553
bellbu01,1976,CLE,604
bellbu01,1978,CLE,556
bellbu01,1979,TEX,670
bellbu01,1982,TEX,537
bellbu01,1983,TEX,618
bellbu01,1984,TEX,553
bellbu01,1986,CIN,568
bellbu01,1987,CIN,522
bellda01,1999,SEA,597
bellda01,2002,SFN,552
bellda01,2004,PHI,533
bellda01,2005,PHI,557
bellde01,1993,SDN,542
bellde01,1996,HOU,627
bellde01,1998,HOU,630
bellde01,1999,HOU,509
bellde01,2000,NYN,546
belleal01,1992,CLE,585
belleal01,1993,CLE,594
belleal01,1995,CLE,546
belleal01,1996,CLE,602
belleal01,1997,CHA,634
belleal01,1998,CHA,609
belleal01,1999,BAL,610
belleal01,2000,BAL,559
bellge02,1984,TOR,606
bellge02,1985,TOR,607
bellge02,1986,TOR,641
bellge02,1987,TOR,610
bellge02,1988,TOR,614
bellge02,1989,TOR,613
bellge02,1990,TOR,562
bellge02,1991,CHN,558
bellge02,1992,CHA,627
bellgu01,1951,PIT,600
bellgu01,1953,CIN,610
bellgu01,1954,CIN,619
bellgu01,1955,CIN,610
bellgu01,1956,CIN,603
bellgu01,1957,CIN,510
bellgu01,1959,CIN,580
bellgu01,1960,CIN,515
bellhma01,2004,BOS,523
belliro01,2000,MIL,571
belliro01,2004,CLE,599
belliro01,2005,CLE,536
belliro01,2007,WAS,511
bellja01,1990,PIT,583
bellja01,1991,PIT,608
bellja01,1992,PIT,632
bellja01,1993,PIT,604
bellja01,1995,PIT,530
bellja01,1996,PIT,527
bellja01,1997,KCA,573
bellja01,1998,ARI,549
bellja01,1999,ARI,589
bellja01,2000,ARI,565
belljo02,2017,PIT,549
bellle01,1925,SLN,586
bellle01,1926,SLN,581
bellle01,1928,BSN,591
beltbr01,2013,SFN,509
beltbr01,2016,SFN,542
beltrad01,1999,LAN,538
beltrad01,2000,LAN,510
beltrad01,2002,LAN,587
beltrad01,2003,LAN,559
beltrad01,2004,LAN,598
beltrad01,2005,SEA,603
beltrad01,2006,SEA,620
beltrad01,2007,SEA,595
beltrad01,2008,SEA,556
beltrad01,2010,BOS,589
beltrad01,2012,TEX,604
beltrad01,2013,TEX,631
beltrad01,2014,TEX,549
beltrad01,2015,TEX,567
beltrad01,2016,TEX,583
beltrca01,1999,KCA,663
beltrca01,2001,KCA,617
beltrca01,2002,KCA,637
beltrca01,2003,KCA,521
beltrca01,2005,NYN,582
beltrca01,2006,NYN,510
beltrca01,2007,NYN,554
beltrca01,2008,NYN,606
beltrca01,2012,SLN,547
beltrca01,2013,SLN,554
benarma01,1999,SFN,562
benarma01,2000,SFN,560
benchjo01,1968,CIN,564
benchjo01,1969,CIN,532
benchjo01,1970,CIN,605
benchjo01,1971,CIN,562
benchjo01,1972,CIN,538
benchjo01,1973,CIN,557
benchjo01,1974,CIN,621
benchjo01,1975,CIN,530
beninan01,2017,BOS,573
bennepu01,1906,SLN,595
benzito01,1989,CIN,628
berarjo01,1940,SLA,523
berarjo01,1946,SLA,582
bergepe01,2000,MON,518
bergewa01,1930,BSN,555
bergewa01,1931,BSN,617
bergewa01,1932,BSN,602
bergewa01,1933,BSN,528
bergewa01,1934,BSN,615
bergewa01,1935,BSN,589
bergewa01,1936,BSN,534
berkmla01,2001,HOU,577
berkmla01,2002,HOU,578
berkmla01,2003,HOU,538
berkmla01,2004,HOU,544
berkmla01,2006,HOU,536
berkmla01,2007,HOU,561
berkmla01,2008,HOU,554
bernato01,1982,CHA,540
bernato01,1986,CLE,562
berrada01,1982,PIT,529
berrada01,1983,PIT,537
berrayo01,1950,NYA,597
berrayo01,1951,NYA,547
berrayo01,1952,NYA,534
berrayo01,1953,NYA,503
berrayo01,1954,NYA,584
berrayo01,1955,NYA,541
berrayo01,1956,NYA,521
berroan01,2003,KCA,567
berroan01,2004,KCA,512
berroan01,2005,KCA,608
berroge01,1995,OAK,546
berroge01,1996,OAK,586
berryke01,1968,CHA,504
beschbo01,1910,CIN,589
beschbo01,1911,CIN,599
beschbo01,1912,CIN,548
beschbo01,1913,CIN,511
beschbo01,1914,NY1,512
beschbo01,1916,SLN,561
betanyu01,2006,SEA,558
betanyu01,2007,SEA,536
betanyu01,2008,SEA,559
betanyu01,2010,KCA,556
betanyu01,2011,MIL,556
bettsmo01,2015,BOS,597
bettsmo01,2016,BOS,672
bettsmo01,2017,BOS,628
betzebr01,1916,SLN,510
bicheda01,1993,COL,538
bicheda01,1995,COL,579
bicheda01,1996,COL,633
bicheda01,1997,COL,561
bicheda01,1998,COL,662
bicheda01,1999,COL,593
bierblo01,1886,PH4,522
bierblo01,1887,PH4,530
bierblo01,1888,PH4,535
bierblo01,1889,PH4,549
bierblo01,1890,BRP,589
bierblo01,1892,PIT,649
bierblo01,1893,PIT,528
bierblo01,1894,PIT,528
bigbeca01,1920,PIT,550
bigbeca01,1921,PIT,632
bigbeca01,1922,PIT,614
biggicr01,1990,HOU,555
biggicr01,1991,HOU,546
biggicr01,1992,HOU,613
biggicr01,1993,HOU,610
biggicr01,1995,HOU,553
biggicr01,1996,HOU,605
biggicr01,1997,HOU,619
biggicr01,1998,HOU,646
biggicr01,1999,HOU,639
biggicr01,2001,HOU,617
biggicr01,2002,HOU,577
biggicr01,2003,HOU,628
biggicr01,2004,HOU,633
biggicr01,2005,HOU,590
biggicr01,2006,HOU,548
biggicr01,2007,HOU,517
bilkost01,1953,SLN,570
binksge01,1945,WS1,550
bissode01,1928,BRO,587
bissode01,1930,BRO,572
bissode01,1931,BRO,587
blackch02,2014,COL,593
blackch02,2015,COL,614
blackch02,2016,COL,578
blackch02,2017,COL,644
blairfo01,1930,CHN,578
blairpa01,1967,BAL,552
blairpa01,1969,BAL,625
blairpa01,1971,BAL,516
blairpa01,1974,BAL,552
blakeca01,2003,CLE,557
blakeca01,2004,CLE,587
blakeca01,2005,CLE,523
blakeca01,2007,CLE,588
blakeca01,2010,LAN,509
blaloha01,2003,TEX,567
blaloha01,2004,TEX,624
blaloha01,2005,TEX,647
blaloha01,2006,TEX,591
blasido01,1956,SLN,587
blasido01,1957,SLN,650
blasido01,1958,SLN,547
blasido01,1959,SLN,615
blasido01,1960,SFN,523
blasido01,1964,WS2,506
blausje01,1993,ATL,597
blausje01,1997,ATL,519
