time,id,value
2018-06-07 16:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65095.27
2018-06-07 17:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65095.46
2018-06-07 17:15:10+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65095.65
2018-06-07 17:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65095.84
2018-06-07 17:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65096.02
2018-06-07 18:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65096.2
2018-06-07 18:21:31+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65096.47
2018-06-07 18:30:11+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65096.57
2018-06-07 18:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65096.74
2018-06-07 19:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65096.93
2018-06-07 19:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65097.11
2018-06-07 19:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65097.3
2018-06-07 19:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65097.48
2018-06-07 20:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65097.66
2018-06-07 20:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65097.84
2018-06-07 20:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65098.02
2018-06-07 20:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65098.21
2018-06-07 21:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65098.39
2018-06-07 21:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65098.57
2018-06-07 21:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65098.74
2018-06-07 21:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65098.97
2018-06-07 22:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65099.14
2018-06-07 22:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65099.33
2018-06-07 22:30:11+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65099.51
2018-06-07 22:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65099.71
2018-06-07 23:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65099.9
2018-06-07 23:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65100.07
2018-06-07 23:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65100.25
2018-06-07 23:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65100.44
2018-06-08 00:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65100.63
2018-06-08 00:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65100.8
2018-06-08 00:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65100.97
2018-06-08 00:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65101.16
